name,proc_id,njss_url,address,open_count,total_count,result_count
水資源機構 中部支社 豊川用水総合管理所,471,https://www2.njss.info/organizations/proc/471,愛知県,8,810,42
国立精神・神経医療研究センター(NCNP),692,https://www2.njss.info/organizations/proc/692,東京都,8,3368,1123
高齢・障害・求職者雇用支援機構 北海道支部,5765,https://www2.njss.info/organizations/proc/5765,北海道,8,1331,777
地域医療機能推進機構(JCHO) 福井勝山総合病院,7185,https://www2.njss.info/organizations/proc/7185,福井県,8,735,655
水資源機構 中部支社 木曽川上流ダム総合管理所,475,https://www2.njss.info/organizations/proc/475,岐阜県,7,336,74
医薬品医療機器総合機構(PMDA),611,https://www2.njss.info/organizations/proc/611,東京都,7,3245,2765
日本貿易振興機構(JETRO),722,https://www2.njss.info/organizations/proc/722,東京都,7,11784,10566
国立病院機構 関東信越グループ 相模原病院,794,https://www2.njss.info/organizations/proc/794,神奈川県,7,1312,785
国立病院機構 東海北陸グループ 静岡医療センター,888,https://www2.njss.info/organizations/proc/888,静岡県,7,1419,1012
都市再生機構(UR) 東日本賃貸住宅本部 千葉地域,5061,https://www2.njss.info/organizations/proc/5061,千葉県,7,4544,3752
高齢・障害・求職者雇用支援機構 東京支部,7135,https://www2.njss.info/organizations/proc/7135,東京都,7,1264,705
地域医療機能推進機構(JCHO) 群馬中央病院,7159,https://www2.njss.info/organizations/proc/7159,群馬県,7,734,639
地域医療機能推進機構(JCHO) 四日市羽津医療センター,7182,https://www2.njss.info/organizations/proc/7182,三重県,7,696,609
日本芸術文化振興会,234,https://www2.njss.info/organizations/proc/234,東京都,6,5841,5407
農林漁業信用基金,286,https://www2.njss.info/organizations/proc/286,東京都,6,498,337
郵便貯金簡易生命保険管理・郵便局ネットワーク支援機構,361,https://www2.njss.info/organizations/proc/361,東京都,6,591,463
航空大学校,445,https://www2.njss.info/organizations/proc/445,宮崎県,6,1036,820
水資源機構 利根川下流総合管理所,464,https://www2.njss.info/organizations/proc/464,茨城県,6,545,110
水資源機構 中部支社 揖斐川・長良川総合管理所,476,https://www2.njss.info/organizations/proc/476,三重県,6,417,87
国立病院機構 北海道東北グループ 仙台医療センター,776,https://www2.njss.info/organizations/proc/776,宮城県,6,1628,1034
国立病院機構 北海道東北グループ あきた病院,779,https://www2.njss.info/organizations/proc/779,秋田県,6,590,438
国立病院機構 近畿グループ 大阪医療センター,858,https://www2.njss.info/organizations/proc/858,大阪府,6,2404,2087
国立文化財機構(NICH) 東京国立博物館(TNM),1097,https://www2.njss.info/organizations/proc/1097,東京都,6,916,316
国立文化財機構(NICH) 奈良文化財研究所,1100,https://www2.njss.info/organizations/proc/1100,奈良県,6,872,264
労働者健康安全機構 千葉労災病院,1468,https://www2.njss.info/organizations/proc/1468,千葉県,6,1582,1032
労働者健康安全機構 東京労災病院,1469,https://www2.njss.info/organizations/proc/1469,東京都,6,1399,1134
労働者健康安全機構 横浜労災病院,1471,https://www2.njss.info/organizations/proc/1471,神奈川県,6,2424,1818
労働者健康安全機構 中国労災病院,1483,https://www2.njss.info/organizations/proc/1483,広島県,6,1038,708
高齢・障害・求職者雇用支援機構 大阪支部,4433,https://www2.njss.info/organizations/proc/4433,大阪府,6,1724,824
都市再生機構(UR) 東日本賃貸住宅本部 埼玉地域,5062,https://www2.njss.info/organizations/proc/5062,埼玉県,6,4239,3536
高齢・障害・求職者雇用支援機構 埼玉支部,5801,https://www2.njss.info/organizations/proc/5801,埼玉県,6,1534,405
高齢・障害・求職者雇用支援機構 新潟支部,5806,https://www2.njss.info/organizations/proc/5806,新潟県,6,1032,276
地域医療機能推進機構(JCHO) うつのみや病院,7158,https://www2.njss.info/organizations/proc/7158,栃木県,6,634,549
地域医療機能推進機構(JCHO) 清水さくら病院,7179,https://www2.njss.info/organizations/proc/7179,静岡県,6,401,321
地域医療機能推進機構(JCHO) 人吉医療センター,7202,https://www2.njss.info/organizations/proc/7202,熊本県,6,511,401
海上技術安全研究所(NMRI),450,https://www2.njss.info/organizations/proc/450,東京都,5,7265,2980
水資源機構 関西・吉野川支社淀川本部 木津川ダム総合管理所,483,https://www2.njss.info/organizations/proc/483,三重県,5,686,143
水資源機構 関西・吉野川支社吉野川本部 吉野川上流総合管理所,488,https://www2.njss.info/organizations/proc/488,徳島県,5,486,110
労働者健康安全機構 労働安全衛生総合研究所(JNIOSH),608,https://www2.njss.info/organizations/proc/608,東京都,5,2230,1185
医薬基盤・健康・栄養研究所(NIBN),609,https://www2.njss.info/organizations/proc/609,大阪府,5,4710,3829
国立病院機構 関東信越グループ 高崎総合医療センター,816,https://www2.njss.info/organizations/proc/816,群馬県,5,1543,1001
