name,njss_count,top_url,domain,platform_n,bid_url,sample_url,fetched_at
福島県庁 土木部 事務所,395,https://densieturan1.pref.fukushima.jp/,densieturan1.pref.fukushima.jp,0,https://densieturan1.pref.fukushima.jp/juchu/JK01-01.shtml,https://www2.njss.info/organizations/proc/7663,2026-07-09
福岡県庁,382,https://www.pref.fukuoka.lg.jp/,www.pref.fukuoka.lg.jp,0,https://www.pref.fukuoka.lg.jp/bid-info/onehealthnomori-evidence.html,https://www2.njss.info/organizations/proc/1699,2026-07-09
名古屋市役所,378,https://www.chotatsu.city.nagoya.jp/,www.chotatsu.city.nagoya.jp,0,https://www.chotatsu.city.nagoya.jp/ejpkg/EjPPIj,https://www2.njss.info/organizations/proc/1707,2026-07-09
長野県庁,369,https://www.pref.nagano.lg.jp/,www.pref.nagano.lg.jp,0,https://www.pref.nagano.lg.jp/kensei/nyusatsu/index.html,https://www2.njss.info/organizations/proc/1576,2026-07-09
農林水産省(MAFF),363,https://www.p-portal.go.jp/,www.p-portal.go.jp,0,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,https://www2.njss.info/organizations/proc/300,2026-07-09
大阪府庁,358,https://www.pref.osaka.lg.jp/,www.pref.osaka.lg.jp,0,https://eawww.e-nyusatsu.pref.osaka.jp/portal/index,https://www2.njss.info/organizations/proc/1690,2026-07-09
山梨県庁,356,https://www.cals.pref.yamanashi.lg.jp/,www.cals.pref.yamanashi.lg.jp,0,https://www.cals.pref.yamanashi.lg.jp/,https://www2.njss.info/organizations/proc/1678,2026-07-09
宮城県庁,348,https://www.pref.miyagi.jp/,www.pref.miyagi.jp,0,https://www.pref.miyagi.jp/life/8/40/,https://www2.njss.info/organizations/proc/1687,2026-07-09
横浜市役所,340,https://keiyaku.city.yokohama.lg.jp/,keiyaku.city.yokohama.lg.jp,0,https://keiyaku.city.yokohama.lg.jp/epco/servlet/p?job=NyusatsuKeiyakuKekkaBuppinSearch,https://www2.njss.info/organizations/proc/1657,2026-07-09
群馬県庁,338,https://www.pref.gunma.jp/,www.pref.gunma.jp,0,https://www.pref.gunma.jp/adv/ba.php?id=14,https://www2.njss.info/organizations/proc/1689,2026-07-09
鳥取県庁,335,http://db.pref.tottori.jp/,db.pref.tottori.jp,0,http://db.pref.tottori.jp/HacchuKoukai2.nsf/list1_forweb/8F80E6D599C363E449258DDF002680D3?OpenDocument,https://www2.njss.info/organizations/proc/1694,2026-07-09
石川県庁,332,https://www.pref.ishikawa.lg.jp/,www.pref.ishikawa.lg.jp,0,https://www.pref.ishikawa.lg.jp/kanri/cals-ec/bidding_information.html,https://www2.njss.info/organizations/proc/1577,2026-07-09
日本郵政グループ〈郵便局/日本郵便/ゆうちょ銀行/かんぽ生命〉,328,https://www.japanpost.jp/,www.japanpost.jp,0,https://www.japanpost.jp/procurement/,https://www2.njss.info/organizations/proc/382,2026-07-09
新潟県庁,324,https://www.pref.niigata.lg.jp/,www.pref.niigata.lg.jp,0,https://www.pref.niigata.lg.jp/life/sub/8/,https://www2.njss.info/organizations/proc/1677,2026-07-09
山口県庁,321,https://www.pref.yamaguchi.lg.jp/,www.pref.yamaguchi.lg.jp,0,https://www.pref.yamaguchi.lg.jp/soshiki/127/23376.html,https://www2.njss.info/organizations/proc/1642,2026-07-09
青森県庁,318,https://www.pref.aomori.lg.jp/,www.pref.aomori.lg.jp,0,https://www.pref.aomori.lg.jp/koho/nyusatsu_iriguchi.html,https://www2.njss.info/organizations/proc/1574,2026-07-09
国土交通省(MLIT) 中部地方整備局,313,https://e2ppiw01.e-bisc.go.jp/,e2ppiw01.e-bisc.go.jp,0,https://e2ppiw01.e-bisc.go.jp/CALS/Publish/KokaiBunshoServlet?AnkenKanriNo=021050002026422000000421&BunshoKanriId=20,https://www2.njss.info/organizations/proc/500,2026-07-09
宮崎県庁,304,https://www.pref.miyazaki.lg.jp/,www.pref.miyazaki.lg.jp,0,https://www.pref.miyazaki.lg.jp/zaisansogokanri/kense/chotatsu/20260514112101.html,https://www2.njss.info/organizations/proc/1644,2026-07-09
国際協力機構(JICA),302,https://www.jica.go.jp/,www.jica.go.jp,0,https://www.jica.go.jp/oda/project/2460610/index.html,https://www2.njss.info/organizations/proc/757,2026-07-09
愛媛県庁,300,https://www.pref.ehime.jp/,www.pref.ehime.jp,0,https://www.pref.ehime.jp/adv/ba.php?id=13,https://www2.njss.info/organizations/proc/1697,2026-07-09
島根県庁,297,https://choutatsuweb.pref.shimane.lg.jp/,choutatsuweb.pref.shimane.lg.jp,0,https://choutatsuweb.pref.shimane.lg.jp/SMN/PPI_P/pages/Menu/ppi_p_main_d.vm,https://www2.njss.info/organizations/proc/1695,2026-07-09
さいたま市役所,294,https://www.pref.saitama.lg.jp/,www.pref.saitama.lg.jp,0,https://www.pref.saitama.lg.jp/a0212/densinyusatsu/index.html,https://www2.njss.info/organizations/proc/1653,2026-07-09
防衛省(MOD) 陸上自衛隊 東部方面隊 東部方面会計隊,292,https://www.mod.go.jp/,www.mod.go.jp,0,https://www.mod.go.jp/gsdf/eae/kaikei/eafin/koubo/20260525-341A-0341.pdf,https://www2.njss.info/organizations/proc/17,2026-07-09
和歌山県庁,288,https://www.keirinwa.com/,www.keirinwa.com,0,https://www.keirinwa.com/news/pdf/2604_event01.pdf?26041301,https://www2.njss.info/organizations/proc/1693,2026-07-09
国土交通省(MLIT) 関東地方整備局,287,https://e2ppiw01.e-bisc.go.jp/,e2ppiw01.e-bisc.go.jp,0,https://e2ppiw01.e-bisc.go.jp/CALS/Publish/KokaiBunshoServlet?AnkenKanriNo=021030002026412000000192&BunshoKanriId=20,https://www2.njss.info/organizations/proc/504,2026-07-09
鹿児島県庁,287,https://www.kagoshima-nyusatsu.jp/,www.kagoshima-nyusatsu.jp,0,https://www.kagoshima-nyusatsu.jp/accept/index.html,https://www2.njss.info/organizations/proc/1703,2026-07-09
国土交通省(MLIT) 中国地方整備局,285,https://www.i-ppi.jp/,www.i-ppi.jp,0,https://www.i-ppi.jp/IPPI/SearchServices/Web/Index.htm,https://www2.njss.info/organizations/proc/501,2026-07-09
浜松市役所,271,https://www.city.hamamatsu.shizuoka.jp/,www.city.hamamatsu.shizuoka.jp,0,https://www.city.hamamatsu.shizuoka.jp/sangyo/hatchu/index.html,https://www2.njss.info/organizations/proc/1706,2026-07-09
国土交通省(MLIT) 東北地方整備局,265,https://www.p-portal.go.jp/,www.p-portal.go.jp,0,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,https://www2.njss.info/organizations/proc/506,2026-07-09
法務省(MOJ),253,https://www.p-portal.go.jp/,www.p-portal.go.jp,0,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,https://www2.njss.info/organizations/proc/200,2026-07-09
国土交通省(MLIT) 北海道開発局 札幌開発建設部,253,https://koukan-jv.hkd.mlit.go.jp/,koukan-jv.hkd.mlit.go.jp,0,https://koukan-jv.hkd.mlit.go.jp/kohyo-service/INYU0100Action.action,https://www2.njss.info/organizations/proc/4585,2026-07-09
熊本市役所,247,https://www.city.kumamoto.jp/,www.city.kumamoto.jp,0,https://www.city.kumamoto.jp/list04195.html,https://www2.njss.info/organizations/proc/1745,2026-07-09
沖縄県庁,246,https://www.pref.okinawa.jp/,www.pref.okinawa.jp,0,https://www.pref.okinawa.jp/shigoto/nyusatsukeiyaku/1015342/index.html,https://www2.njss.info/organizations/proc/1645,2026-07-09
静岡市役所,246,https://www.city.shizuoka.lg.jp/,www.city.shizuoka.lg.jp,0,https://www.city.shizuoka.lg.jp/p000346.html,https://www2.njss.info/organizations/proc/1672,2026-07-09
豊橋市役所,244,https://www.buppin.e-aichi.jp/,www.buppin.e-aichi.jp,0,https://www.buppin.e-aichi.jp/public/pubBiddingList.do?methodName=execBiddingNotice&nend=2026&orderNum=2604172320100708547&groupCd=23201,https://www2.njss.info/organizations/proc/1728,2026-07-09
神戸市役所,235,https://www.nyusatsu.e-hyogo.jp/,www.nyusatsu.e-hyogo.jp,0,https://www.nyusatsu.e-hyogo.jp/ebidPPIPublish/EjPPIj,https://www2.njss.info/organizations/proc/1665,2026-07-09
仙台市役所,235,https://www.city.sendai.jp/,www.city.sendai.jp,0,https://www.city.sendai.jp/miyagino-shinko/propo/kasseikakentou.html,https://www2.njss.info/organizations/proc/1705,2026-07-09
広島県庁,231,https://chotatsu.pref.hiroshima.lg.jp/,chotatsu.pref.hiroshima.lg.jp,0,https://chotatsu.pref.hiroshima.lg.jp/,https://www2.njss.info/organizations/proc/1585,2026-07-09
京都府庁,231,https://kyoto.efftis.jp/,kyoto.efftis.jp,0,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/Menu/ppi_p_main.vm,https://www2.njss.info/organizations/proc/1691,2026-07-09
