ドメイン,プラットフォーム,機関数,NJSS案件数,例URL
3886ab23.viewer.kintoneapp.com,kintone公開,1,81,https://3886ab23.viewer.kintoneapp.com/public/d6766214090c6f21a39986bc841a744c06db46dcdfd0fd9ba0017f03276a0b30
www.pref.miyazaki.lg.jp,個別/不明,1,81,https://www.pref.miyazaki.lg.jp/documents/107882/107882_20260410132531-1.pdf
keiyaku.city.okayama.jp,個別/不明,1,77,https://keiyaku.city.okayama.jp/keiyaku/servlet/KEBU.KEBUTSU_S020?SelBuppinNo=2026004763&kind=2
cals05.pref.akita.lg.jp,電子入札コアシステム,4,77,https://cals05.pref.akita.lg.jp/ecydeen/do/tosyo?u1=0940064006C00600060006A006C006A0
chotatsu.pref.hiroshima.lg.jp,個別/不明,4,68,https://chotatsu.pref.hiroshima.lg.jp/
www.pref.fukuoka.lg.jp,個別/不明,1,67,https://www.pref.fukuoka.lg.jp/bid-info/onehealthnomori-evidence.html
www.city.yao.osaka.jp,個別/不明,1,66,https://www.city.yao.osaka.jp/sangyou_business/nyuusatsu_keiyaku/1011623/1011624/1011626.html
www.cals.pref.yamanashi.lg.jp,電子入札コアシステム,1,64,https://www.cals.pref.yamanashi.lg.jp/
www.koubai.nta.go.jp,個別/不明,1,64,https://www.koubai.nta.go.jp/auctionx/public/hp0201.php?kyoku_no=02001&koubai_nendo=2025&koubai_no=40&koubai_kind=2&baikyaku_no=19710001
www.city.higashihiroshima.lg.jp,個別/不明,1,64,https://www.city.higashihiroshima.lg.jp/material/files/group/77/bussisenteiR8_7-9.pdf
www.pref.shiga.lg.jp,個別/不明,1,63,https://www.pref.shiga.lg.jp/zigyousya/nyusatsubaikyaku/kouzi/300177.html
ppi.ebid-kouji-gyoumu.pref.nara.jp,個別/不明,1,62,https://ppi.ebid-kouji-gyoumu.pref.nara.jp/DENCHO/PPJ/PPJ0020_0010/
www.pref.saga.lg.jp,個別/不明,1,61,https://www.pref.saga.lg.jp/kiji003119026/index.html
www.kanpo.go.jp,個別/不明,1,61,https://www.kanpo.go.jp/20260501/20260501c00080/20260501c000800120f.html
www.water.go.jp,個別/不明,6,61,https://www.water.go.jp/honsya/honsya/keiyaku/chotatsu/tekiseika/pdf/R0803_koujikyousou.pdf
www.city.sapporo.jp,個別/不明,5,59,https://www.city.sapporo.jp/zaisei/keiyaku-kanri/seido/nyusatsujoho/
www.city.fukuoka.lg.jp,個別/不明,1,58,https://www.city.fukuoka.lg.jp/fukushi/zaitakushien/business/documents/00_bosyuuyoukou.pdf
ebid-joho.e-kanagawa.lg.jp,個別/不明,6,58,https://ebid-joho.e-kanagawa.lg.jp/DENTYO/GPPI_MENU
www.city.nagasaki.lg.jp,個別/不明,1,57,https://www.city.nagasaki.lg.jp/jigyo/320000/321000/p023272.html
www.pref.okayama.jp,個別/不明,2,57,https://www.pref.okayama.jp/uploaded/life/1033008_9992893_misc.pdf
www2.njss.info,個別/不明,6,56,https://www2.njss.info/redirectExternalLink?to=
www.pref.nagano.lg.jp,個別/不明,2,55,https://www.pref.nagano.lg.jp/zerocarbon/proposal/documents/koukoku.pdf
www.pref.chiba.lg.jp,個別/不明,1,53,https://www.pref.chiba.lg.jp/tosei/press/2025/080220-kaneda.html
www.pref.tochigi.lg.jp,個別/不明,1,52,https://www.pref.tochigi.lg.jp/f05/kaigaiyukyaku/documents/20260327105015.pdf
www.city.kameyama.mie.jp,個別/不明,1,52,https://www.city.kameyama.mie.jp/shisei/2026042800017/
ppi.cals-ibaraki.lg.jp,電子入札コアシステム,8,50,http://ppi.cals-ibaraki.lg.jp/koukai/do/KF001ShowAction
www.pref.fukushima.lg.jp,個別/不明,2,49,https://www.pref.fukushima.lg.jp/uploaded/attachment/740651.pdf
www.city.kumamoto.jp,個別/不明,1,48,https://www.city.kumamoto.jp/kiji00370300/3_70300_498013_up_66wc7czx.pdf
www.city.osaka.lg.jp,個別/不明,8,48,https://www.city.osaka.lg.jp/shobo/cmsfiles/contents/0000023/23091/R08hacchu04.pdf
www.e-nyusatsu-portal.pref.miyazaki.lg.jp,個別/不明,7,47,https://www.e-nyusatsu-portal.pref.miyazaki.lg.jp/main/
www.fra.go.jp,個別/不明,1,46,https://www.fra.go.jp/home/keiyaku/chotatsu_joho/r08/nyusatsu/files/00101_20260210_2.pdf
www.city.kurashiki.okayama.jp,個別/不明,1,46,https://www.city.kurashiki.okayama.jp/_res/projects/default_project/_page_/001/024/387/052001.pdf
nyusatsu-joho.e-kanagawa.lg.jp,個別/不明,5,46,https://nyusatsu-joho.e-kanagawa.lg.jp/DENTYO/Com_P9505_1042Servlet?id=0510&kanrino=0341060040020260030
www.pref.aomori.lg.jp,個別/不明,1,45,https://www.pref.aomori.lg.jp/soshiki/kankyo/energy/files/R8_yoryo_hatsuden.pdf
www.pref.toyama.jp,個別/不明,1,45,https://www.pref.toyama.jp/documents/53872/02_r8yoryo.pdf
www.town.mikata-kami.lg.jp,個別/不明,1,45,https://www.town.mikata-kami.lg.jp/material/files/group/2/siteikanri20260401.pdf
